,venture,price,Emi,marketed,location,no_beds,possession_date,Avg
262,NA,₹1.6 Cr,EMI starts at ₹79.43 K,NA,"Adharshnagar asossiation,Kalimandir, Bandlaguda Jagir,Hyderabad",NA,1950 sq.ft,Build Up Area1950 sq.ftAvg. Price₹8.21 K/sq.ft
263,NA,₹1.69 Cr,EMI starts at ₹83.90 K,NA,Aditya Empress Towers,NA,2080 sq.ft,Build Up Area2080 sq.ftAvg. Price₹8.13 K/sq.ft
264,NA,₹1.55 Cr,EMI starts at ₹76.95 K,NA,"Saket, Sainikpuri,Hyderabad",NA,3900 sq.ft,Build Up Area3900 sq.ftAvg. Price₹3.97 K/sq.ft
265,NA,₹45.0 L,EMI starts at ₹23.83 K,NA,"Hyma arcade,Siddhi Vinayak Nagar, Madhapur,Hyderabad",NA,1080 sq.ft,Build Up Area1080 sq.ftAvg. Price₹4.17 K/sq.ft
266,NA,₹2.6 Cr,EMI starts at ₹1.29 Lacs,NA,"Gautham Nagar, Vanasthalipuram,Hyderabad",NA,2265 sq.ft,Build Up Area2265 sq.ftAvg. Price₹11.48 K/sq.ft
267,NA,₹62.0 L,EMI starts at ₹32.83 K,NA,"Central Park Miyapur,Miyapur, Hyderabad",NA,1250 sq.ft,Build Up Area1250 sq.ftAvg. Price₹4.96 K/sq.ft
268,NA,₹1.2 Cr,EMI starts at ₹59.58 K,NA,IVR Hill Ridge Springs by IVR Prime Urban Developers,NA,1750 sq.ft,Build Up Area1750 sq.ftAvg. Price₹6.86 K/sq.ft
269,Trishala Saffron Sanathan,₹79.68 L - 1.22 Cr,EMI starts at ₹39.56 K,By  Trishala Infrastructure ,"Serilingampally,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Serilingampally",Ready to Move,Possession StatusReady to MoveAvg. Price₹6.50 K/sq.ft
270,Salarpuria Magnus,₹1.21 Cr - 3.13 Cr,EMI starts at ₹60.08 K,By  Salarpuria Sattva,"Shaikpet, Hyderabad","2, 2.5, 3, 3.5, 4 BHK Flats for sale in Toli Chowki",Ready to Move in,Possession StatusReady to Move inAvg. Price₹9.29 K/sq.ft
271,AR Green Valley,₹80.39 L - 1.25 Cr,EMI starts at ₹39.91 K,By  AR Infra and Developer,"Kondapur,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Kondapur",Ready to Move,Possession StatusReady to MoveAvg. Price₹6.90 K/sq.ft
272,NA,₹75.0 L,EMI starts at ₹39.72 K,NA,"Afzal Gunj, Hyderabad",NA,1150 sq.ft,Build Up Area1150 sq.ftAvg. Price₹6.52 K/sq.ft
273,NA,₹60.0 L,EMI starts at ₹31.77 K,NA,"Laxmi Nagar Colony, Kothapet,Hyderabad",NA,1027 sq.ft,Build Up Area1027 sq.ftAvg. Price₹5.84 K/sq.ft
274,NA,₹72.0 L,EMI starts at ₹38.13 K,NA,"Sai Ram Nagar, Champapet,Hyderabad",NA,1400 sq.ft,Build Up Area1400 sq.ftAvg. Price₹5.14 K/sq.ft
275,NA,₹55.0 L,EMI starts at ₹29.13 K,NA,"Excellent Housing,Aminpur, Hyderabad",NA,1270 sq.ft,Build Up Area1270 sq.ftAvg. Price₹4.33 K/sq.ft
276,NA,₹1.4 Cr,EMI starts at ₹69.50 K,NA,"Divine County,Khaja Guda, Hyderabad",NA,2400 sq.ft,Build Up Area2400 sq.ftAvg. Price₹5.83 K/sq.ft
277,NA,₹2.3 Cr,EMI starts at ₹1.14 Lacs,NA,"Landmark Happy Living,Domalguda, Himayath Nagar,Hyderabad",NA,2100 sq.ft,Build Up Area2100 sq.ftAvg. Price₹10.95 K/sq.ft
278,NA,₹1.25 Cr,EMI starts at ₹62.06 K,NA,"Happy Homes Fortuna Attapur Hyderabad,Mushk Mahal, Attapur,Hyderabad",NA,2395 sq.ft,Build Up Area2395 sq.ftAvg. Price₹5.22 K/sq.ft
279,NA,₹53.0 L,EMI starts at ₹28.07 K,NA,"Gautham Nagar, Vanasthalipuram,Hyderabad",NA,1110 sq.ft,Build Up Area1110 sq.ftAvg. Price₹4.77 K/sq.ft
280,NA,₹95.0 L,EMI starts at ₹47.16 K,NA,Satya Krishna Shri Sampada,NA,1575 sq.ft,Build Up Area1575 sq.ftAvg. Price₹6.03 K/sq.ft
281,NA,₹42.0 L,EMI starts at ₹22.24 K,NA,"Rohit trower,Miyapur, Hyderabad",NA,955 sq.ft,Build Up Area955 sq.ftAvg. Price₹4.40 K/sq.ft
282,NA,₹75.0 L,EMI starts at ₹39.72 K,NA,Greater Kompally County,NA,1670 sq.ft,Build Up Area1670 sq.ftAvg. Price₹4.49 K/sq.ft
283,NA,₹1.45 Cr,EMI starts at ₹71.99 K,NA,Udaya Park View,NA,1850 sq.ft,Build Up Area1850 sq.ftAvg. Price₹7.84 K/sq.ft
284,NA,₹53.0 L,EMI starts at ₹28.07 K,NA,"Glory Heights,Velly View Enclave, Bandlaguda Jagir,Hyderabad",NA,965 sq.ft,Build Up Area965 sq.ftAvg. Price₹5.49 K/sq.ft
285,NA,₹6.0 Cr,EMI starts at ₹2.98 Lacs,NA,Northstar Allura,NA,4500 sq.ft,Build Up Area4500 sq.ftAvg. Price₹13.33 K/sq.ft
286,NA,₹27.0 L,EMI starts at ₹14.30 K,NA,Sri Laxmi Residency,NA,560 sq.ft,Build Up Area560 sq.ftAvg. Price₹4.82 K/sq.ft
287,NA,₹55.0 L,EMI starts at ₹29.13 K,NA,Layakari Poorvi Residency,NA,1020 sq.ft,Build Up Area1020 sq.ftAvg. Price₹5.39 K/sq.ft
288,NA,₹1.0 Cr,EMI starts at ₹49.65 K,NA,Bricks Cyberwoods,NA,1695 sq.ft,Build Up Area1695 sq.ftAvg. Price₹5.90 K/sq.ft
289,Riddhi Saphire,₹84.75 L - 1.36 Cr,EMI starts at ₹42.07 K,By  Riddhi Group,"Narsingi, Hyderabad","2, 3 BHK Flats for sale in Narsingi","Nov, 2023","Possession StartsNov, 2023Avg. Price₹6.59 K/sq.ft"
290,Bridge Forest Creek,Price on Request,NA,By  Bridge Constructions Private Limited,"Lakshmapur,North Hyderabad,Hyderabad",Residential Plots for sale in Lakshmapur,"Dec, 2022","Possession StartsDec, 2022"
291,NA,₹47.0 L,EMI starts at ₹24.89 K,NA,"LALIHA,Aminpur, Hyderabad",NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹3.92 K/sq.ft
292,NA,₹62.0 L,EMI starts at ₹32.83 K,NA,VRR Nagaram,NA,1557 sq.ft,Build Up Area1557 sq.ftAvg. Price₹3.98 K/sq.ft
293,NA,₹39.0 L,EMI starts at ₹20.65 K,NA,"Dilphin plaza,Malakpet Extension, Old Malakpet,Hyderabad",NA,1000 sq.ft,Build Up Area1000 sq.ftAvg. Price₹3.90 K/sq.ft
294,NA,₹60.0 L,EMI starts at ₹31.77 K,NA,"Jayadheera Kumar and Prameela,Saroor Nagar East, Saroornagar,Hyderabad",NA,1150 sq.ft,Build Up Area1150 sq.ftAvg. Price₹5.22 K/sq.ft
295,NA,₹90.0 L,EMI starts at ₹44.68 K,NA,Vishnu Residency,NA,1479 sq.ft,Build Up Area1479 sq.ftAvg. Price₹6.08 K/sq.ft
296,NA,₹1.18 Cr,EMI starts at ₹58.58 K,NA,"Chengicherla, Hyderabad",NA,2000 sq.ft,Build Up Area2000 sq.ftAvg. Price₹5.90 K/sq.ft
297,NA,₹75.0 L,EMI starts at ₹39.72 K,NA,"Goutham Towers,Chikkadpally, Nallakunta,Hyderabad",NA,1040 sq.ft,Build Up Area1040 sq.ftAvg. Price₹7.21 K/sq.ft
298,NA,₹50.0 L,EMI starts at ₹26.48 K,NA,"GRAM panchayat,Muthangi, Hyderabad",NA,267 sq.yd,Plot Area267 sq.ydAvg. Price₹18.73 K/sq.yd
299,NA,₹64.0 L,EMI starts at ₹33.89 K,NA,Vashista Icon,NA,1299 sq.ft,Build Up Area1299 sq.ftAvg. Price₹4.93 K/sq.ft
300,NA,₹35.0 L,EMI starts at ₹18.53 K,NA,"Vijaya Gardens, Nagole,Hyderabad",NA,200 sq.ft,Plot Area200 sq.ftAvg. Price₹17.50 K/sq.ft
301,NA,₹86.0 L,EMI starts at ₹42.70 K,NA,"Grand Avenue Apartments,Alkapur Township, Puppalaguda,Hyderabad",NA,1600 sq.ft,Build Up Area1600 sq.ftAvg. Price₹5.38 K/sq.ft
302,NA,₹66.0 L,EMI starts at ₹34.95 K,NA,"Sumo Paradise,Siva Sai Puram, Badangpet,Hyderabad",NA,1197 sq.ft,Build Up Area1197 sq.ftAvg. Price₹5.51 K/sq.ft
303,NA,₹68.0 L,EMI starts at ₹36.01 K,NA,"Jockeys RK square,Peerzadiguda, Hyderabad",NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹5.67 K/sq.ft
304,NA,₹58.0 L,EMI starts at ₹30.71 K,NA,Sai Pragathi Heaven,NA,1150 sq.ft,Build Up Area1150 sq.ftAvg. Price₹5.04 K/sq.ft
305,NA,₹1.15 Cr,EMI starts at ₹57.09 K,NA,"New Santoshnagar, Santosh Nagar,Hyderabad",NA,2808 sq.ft,Build Up Area2808 sq.ftAvg. Price₹4.09 K/sq.ft
306,NA,₹55.0 L,EMI starts at ₹29.13 K,NA,"Jockey RK Square,Canara Nagar, Peerzadiguda,Hyderabad",NA,1000 sq.ft,Build Up Area1000 sq.ftAvg. Price₹5.50 K/sq.ft
307,NA,₹10.0 L,EMI starts at ₹5.30 K,NA,"Sangareddy, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹6.67 K/sq.yd
308,NA,₹82.0 L,EMI starts at ₹40.71 K,NA,Surakshaa Surakshaa Hills,NA,1475 sq.ft,Build Up Area1475 sq.ftAvg. Price₹5.56 K/sq.ft
309,NA,₹48.0 L,EMI starts at ₹25.42 K,NA,"Quadri hills,Police Quaters, Rajendra Nagar,Hyderabad",NA,1150 sq.ft,Build Up Area1150 sq.ftAvg. Price₹4.17 K/sq.ft
310,NA,₹53.27 L,EMI starts at ₹28.21 K,NA,"GSLN Pride,Bachupally, Hyderabad",NA,1158 sq.ft,Build Up Area1158 sq.ftAvg. Price₹4.60 K/sq.ft
311,NA,₹9.0 L,EMI starts at ₹4.77 K,NA,"Yacharam, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹6.00 K/sq.yd
312,NA,₹90.0 L,EMI starts at ₹44.68 K,NA,Sneha Enclave,NA,1000 sq.ft,Build Up Area1000 sq.ftAvg. Price₹9.00 K/sq.ft
313,NA,₹91.9 L,EMI starts at ₹45.62 K,NA,Sunrise Square Block A,NA,1465 sq.ft,Build Up Area1465 sq.ftAvg. Price₹6.27 K/sq.ft
314,NA,₹1.65 Cr,EMI starts at ₹81.92 K,NA,"Kothapet, Hyderabad",NA,1350 sq.ft,Plot Area1350 sq.ftAvg. Price₹12.22 K/sq.ft
315,NA,₹24.0 L,EMI starts at ₹12.71 K,NA,"Bloomdale Apartment,Medchal, Hyderabad",NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹2.18 K/sq.ft
316,NA,₹1.1 Cr,EMI starts at ₹54.61 K,NA,"Arvind Nagar Colony, Toli Chowki,Hyderabad",NA,1600 sq.ft,Build Up Area1600 sq.ftAvg. Price₹6.88 K/sq.ft
317,NA,₹3.75 Cr,EMI starts at ₹1.86 Lacs,NA,ARV Viva,NA,4000 sq.ft,Build Up Area4000 sq.ftAvg. Price₹9.38 K/sq.ft
318,NA,₹79.0 L,EMI starts at ₹39.22 K,NA,"GM Square,Neeraj Colony, Toli Chowki,Hyderabad",NA,1410 sq.ft,Build Up Area1410 sq.ftAvg. Price₹5.60 K/sq.ft
319,NA,₹1.15 Cr,EMI starts at ₹57.09 K,NA,Babas Grandeur,NA,1836 sq.ft,Plot Area1836 sq.ftAvg. Price₹6.26 K/sq.ft
320,NA,₹1.03 Cr,EMI starts at ₹51.14 K,NA,Meenakshi Avenue,NA,1540 sq.ft,Build Up Area1540 sq.ftAvg. Price₹6.69 K/sq.ft
321,NA,₹1.8 Cr,EMI starts at ₹89.36 K,NA,Mythri The Town,NA,3000 sq.ft,Build Up Area3000 sq.ftAvg. Price₹6.00 K/sq.ft
322,NA,₹44.5 L,EMI starts at ₹23.57 K,NA,"Akshaya fortune Apartment,Vasavi Nagar, Alwal,Hyderabad",NA,1160 sq.ft,Build Up Area1160 sq.ftAvg. Price₹3.84 K/sq.ft
323,NA,₹30.0 L,EMI starts at ₹15.89 K,NA,Amulya Plaza,NA,500 sq.ft,Build Up Area500 sq.ftAvg. Price₹6.00 K/sq.ft
324,NA,₹56.5 L,EMI starts at ₹29.92 K,NA,Bhanu Township,NA,995 sq.ft,Build Up Area995 sq.ftAvg. Price₹5.68 K/sq.ft
325,NA,₹42.35 L,EMI starts at ₹22.43 K,NA,"svs magnifique,Bayanna Nagar, Boduppal,Hyderabad",NA,1210 sq.ft,Build Up Area1210 sq.ftAvg. Price₹3.50 K/sq.ft
326,NA,₹41.14 L,EMI starts at ₹21.79 K,NA,"SVS MAGNIFIQUE,Bayanna Nagar, Boduppal,Hyderabad",NA,1210 sq.ft,Build Up Area1210 sq.ftAvg. Price₹3.40 K/sq.ft
327,NA,₹1.5 Cr,EMI starts at ₹74.47 K,NA,Udaya Park View,NA,1850 sq.ft,Build Up Area1850 sq.ftAvg. Price₹8.11 K/sq.ft
328,NA,₹2.65 Cr,EMI starts at ₹1.32 Lacs,NA,Legend Marigold,NA,2687 sq.ft,Build Up Area2687 sq.ftAvg. Price₹9.86 K/sq.ft
329,NA,₹1.1 Cr,EMI starts at ₹54.61 K,NA,Shweta Aryan,NA,1540 sq.ft,Build Up Area1540 sq.ftAvg. Price₹7.14 K/sq.ft
330,NA,₹4.0 L,EMI starts at ₹2.12 K,NA,"Shamshabad, Hyderabad",NA,900 sq.yd,Plot Area900 sq.ydAvg. Price₹444/sq.yd
331,NA,₹1.6 Cr,EMI starts at ₹79.43 K,NA,"Abhudaya Nagar Colony, Bandlaguda Jagir,Hyderabad",NA,3600 sq.ft,Build Up Area3600 sq.ftAvg. Price₹4.44 K/sq.ft
332,NA,₹68.0 L,EMI starts at ₹36.01 K,NA,"Tirumala shivpuri colony,Ananth Nagar, Dr A S Rao Nagar Colony,Hyderabad",NA,1509 sq.ft,Build Up Area1509 sq.ftAvg. Price₹4.51 K/sq.ft
333,NA,₹2.45 Cr,EMI starts at ₹1.22 Lacs,NA,"East Maruthinagar,Hasnabad, Santosh Nagar,Hyderabad",NA,1600 sq.ft,Build Up Area1600 sq.ftAvg. Price₹15.31 K/sq.ft
334,NA,₹72.0 L,EMI starts at ₹38.13 K,NA,Janapriya Metropolis,NA,1135 sq.ft,Build Up Area1135 sq.ftAvg. Price₹6.34 K/sq.ft
335,NA,₹56.0 L,EMI starts at ₹29.66 K,NA,"Beeramguda, Ramachandra Puram,Hyderabad",NA,1260 sq.ft,Plot Area1260 sq.ftAvg. Price₹4.44 K/sq.ft
336,NA,₹69.0 L,EMI starts at ₹36.54 K,NA, Siri Dream Homes,NA,1050 sq.ft,Build Up Area1050 sq.ftAvg. Price₹6.57 K/sq.ft
337,NA,₹95.0 L,EMI starts at ₹47.16 K,NA,"Industrial Development Area Bollaram, Mallampet,Hyderabad",NA,1900 sq.ft,Build Up Area1900 sq.ftAvg. Price₹5.00 K/sq.ft
338,NA,₹1.15 Cr,EMI starts at ₹57.09 K,NA,"Alwal, Hyderabad",NA,1650 sq.ft,Build Up Area1650 sq.ftAvg. Price₹6.97 K/sq.ft
339,NA,₹1.5 Cr,EMI starts at ₹74.47 K,NA,"Jai Jawan Colony, Kapra,Hyderabad",NA,3000 sq.ft,Build Up Area3000 sq.ftAvg. Price₹5.00 K/sq.ft
340,NA,₹36.0 L,EMI starts at ₹19.06 K,NA,"Meghana Encalve,Alluri Seetaramaraju Nagar, Hyder Nagar,Hyderabad",NA,800 sq.ft,Build Up Area800 sq.ftAvg. Price₹4.50 K/sq.ft
341,NA,₹1.55 Cr,EMI starts at ₹76.95 K,NA,"villas Near LB Nagar Metro,Sri Sai Tarun Enclave, LB Nagar,Hyderabad",NA,2700 sq.ft,Build Up Area2700 sq.ftAvg. Price₹5.74 K/sq.ft
342,NA,₹55.0 L,EMI starts at ₹29.13 K,NA,"Aminpur, Hyderabad",NA,1250 sq.ft,Build Up Area1250 sq.ftAvg. Price₹4.40 K/sq.ft
343,NA,₹42.0 L,EMI starts at ₹22.24 K,NA,"SVNR Homes,Saroor Nagar East, Saroornagar,Hyderabad",NA,755 sq.ft,Build Up Area755 sq.ftAvg. Price₹5.56 K/sq.ft
344,NA,₹1.3 Cr,EMI starts at ₹64.54 K,NA,"Chandrapuri Colony, Mansoorabad,Hyderabad",NA,1900 sq.ft,Plot Area1900 sq.ftAvg. Price₹6.84 K/sq.ft
345,NA,₹60.0 L,EMI starts at ₹31.77 K,NA,"Police Colony, Kondapur,Hyderabad",NA,1170 sq.ft,Build Up Area1170 sq.ftAvg. Price₹5.13 K/sq.ft
346,NA,₹37.0 L,EMI starts at ₹19.59 K,NA,"Ahmed colony,MD Colony, Toli Chowki,Hyderabad",NA,891 sq.ft,Build Up Area891 sq.ftAvg. Price₹4.15 K/sq.ft
347,NA,₹3.5 Cr,EMI starts at ₹1.74 Lacs,NA,"Satyam Enclave, Kompally,Hyderabad",NA,2650 sq.ft,Build Up Area2650 sq.ftAvg. Price₹13.21 K/sq.ft
348,NA,₹1.17 Cr,EMI starts at ₹58.09 K,NA,"babanagar housing society,Venkataramana Colony, Mallapur,Hyderabad",NA,2700 sq.ft,Plot Area2700 sq.ftAvg. Price₹4.33 K/sq.ft
349,NA,₹1.65 Cr,EMI starts at ₹81.92 K,NA,"Malla Reddy Colony, Kapra,Hyderabad",NA,2500 sq.ft,Build Up Area2500 sq.ftAvg. Price₹6.60 K/sq.ft
350,NA,₹1.91 Cr,EMI starts at ₹94.68 K,NA,Sri Krishna Krishe Valley,NA,2414 sq.ft,Build Up Area2414 sq.ftAvg. Price₹7.90 K/sq.ft
351,NA,₹59.28 L,EMI starts at ₹31.39 K,NA,Praneeth Pranav Townsquare,NA,1160 sq.ft,Build Up Area1160 sq.ftAvg. Price₹5.11 K/sq.ft
352,NA,₹80.0 L,EMI starts at ₹39.72 K,NA,"Shree Ram Sai Gayatri Heavens,Krishna Nagar, Dilsukh Nagar,Hyderabad",NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹6.67 K/sq.ft
353,NA,₹93.0 L,EMI starts at ₹46.17 K,NA,"Chevella, Hyderabad",NA,4840 sq.yd,Plot Area4840 sq.ydAvg. Price₹1.92 K/sq.yd
354,NA,₹74.0 L,EMI starts at ₹39.19 K,NA,"zeenath castle,Mushk Mahal, Attapur,Hyderabad",NA,1438 sq.ft,Build Up Area1438 sq.ftAvg. Price₹5.15 K/sq.ft
355,NA,₹88.0 L,EMI starts at ₹43.69 K,NA,"Old Alwal, Alwal,Hyderabad",NA,2100 sq.ft,Build Up Area2100 sq.ftAvg. Price₹4.19 K/sq.ft
356,NA,₹35.0 L,EMI starts at ₹18.53 K,NA,"Ashirwad Appartment,Ram Nagar, Zamistanpur,Hyderabad",NA,718 sq.ft,Build Up Area718 sq.ftAvg. Price₹4.87 K/sq.ft
357,NA,₹97.5 L,EMI starts at ₹48.40 K,NA,"SRI MARUTHI NILAYAM KATHIKEYA NAGAR ,Krishna Giri Enclave, Tarnaka,Hyderabad",NA,1275 sq.ft,Build Up Area1275 sq.ftAvg. Price₹7.65 K/sq.ft
358,NA,₹85.0 L,EMI starts at ₹42.20 K,NA,Omkar Heights,NA,1240 sq.ft,Build Up Area1240 sq.ftAvg. Price₹6.85 K/sq.ft
359,NA,₹62.52 L,EMI starts at ₹33.11 K,NA,MJR Sai Habitat,NA,1330 sq.ft,Build Up Area1330 sq.ftAvg. Price₹4.70 K/sq.ft
360,NA,₹86.5 L,EMI starts at ₹42.94 K,NA,"P S Rao Nagar, Dammaiguda,Hyderabad",NA,1300 sq.ft,Build Up Area1300 sq.ftAvg. Price₹6.65 K/sq.ft
361,NA,₹3.2 Cr,EMI starts at ₹1.59 Lacs,NA,"SBH Colony, Vijaya Nagar Colony,Hyderabad",NA,2500 sq.ft,Build Up Area2500 sq.ftAvg. Price₹12.80 K/sq.ft
362,NA,₹75.0 L,EMI starts at ₹39.72 K,NA,"Gautham Nagar, Vanasthalipuram,Hyderabad",NA,1800 sq.ft,Plot Area1800 sq.ftAvg. Price₹4.17 K/sq.ft
363,NA,₹83.0 L,EMI starts at ₹41.21 K,NA,"Sai Nagar, Peerzadiguda,Hyderabad",NA,1000 sq.ft,Build Up Area1000 sq.ftAvg. Price₹8.30 K/sq.ft
364,NA,₹89.0 L,EMI starts at ₹44.19 K,NA,"Miraj Colony, Toli Chowki,Hyderabad",NA,1800 sq.ft,Build Up Area1800 sq.ftAvg. Price₹4.94 K/sq.ft
365,NA,₹45.0 L,EMI starts at ₹23.83 K,NA,"Maha Laxmi turkayamjal,Turkayamjal, Hyderabad",NA,974 sq.ft,Build Up Area974 sq.ftAvg. Price₹4.62 K/sq.ft
366,NA,₹25.0 L,EMI starts at ₹13.24 K,NA,"Uppal,Peerzadiguda, Hyderabad",NA,775 sq.ft,Build Up Area775 sq.ftAvg. Price₹3.23 K/sq.ft
367,NA,₹65.0 L,EMI starts at ₹34.42 K,NA,"Sai Rekha Residency,Vijaya Gardens, Nagole,Hyderabad",NA,1191 sq.ft,Build Up Area1191 sq.ftAvg. Price₹5.46 K/sq.ft
368,NA,₹58.25 L,EMI starts at ₹30.85 K,NA,On Cloud 33,NA,1099 sq.ft,Build Up Area1099 sq.ftAvg. Price₹5.30 K/sq.ft
369,NA,₹44.0 L,EMI starts at ₹23.30 K,NA, Sri Krishna Homes,NA,1105 sq.ft,Build Up Area1105 sq.ftAvg. Price₹3.98 K/sq.ft
370,NA,₹1.3 Cr,EMI starts at ₹64.54 K,NA,"BSR colony,Beeramguda, Ramachandra Puram,Hyderabad",NA,2700 sq.ft,Build Up Area2700 sq.ftAvg. Price₹4.81 K/sq.ft
371,NA,₹1.75 Cr,EMI starts at ₹86.88 K,NA,"Venkatapuram, Alwal,Hyderabad",NA,1260 sq.ft,Build Up Area1260 sq.ftAvg. Price₹13.89 K/sq.ft
372,NA,₹82.0 L,EMI starts at ₹40.71 K,NA,Aaditri SV Heights,NA,1366 sq.ft,Build Up Area1366 sq.ftAvg. Price₹6.00 K/sq.ft
373,NA,₹35.0 L,EMI starts at ₹18.53 K,NA,"Babulnath building seven eleven bakery,Chirag Ali Lane, Abids,Hyderabad",NA,735 sq.ft,Build Up Area735 sq.ftAvg. Price₹4.76 K/sq.ft
374,NA,₹72.0 L,EMI starts at ₹38.13 K,NA,"P S Rao Nagar, Dammaiguda,Hyderabad",NA,1227 sq.ft,Build Up Area1227 sq.ftAvg. Price₹5.87 K/sq.ft
375,NA,₹1.15 Cr,EMI starts at ₹57.09 K,NA,"Industrial Development Area Bollaram, Mallampet,Hyderabad",NA,1600 sq.ft,Build Up Area1600 sq.ftAvg. Price₹7.19 K/sq.ft
376,NA,₹84.0 L,EMI starts at ₹41.70 K,NA,"apple tree,Serilingampally, Hyderabad",NA,1470 sq.ft,Build Up Area1470 sq.ftAvg. Price₹5.71 K/sq.ft
377,NA,₹89.0 L,EMI starts at ₹44.19 K,NA,Amna Diamond,NA,2100 sq.ft,Build Up Area2100 sq.ftAvg. Price₹4.24 K/sq.ft
378,NA,₹65.0 L,EMI starts at ₹34.42 K,NA,"Pleasure Homes,Manikonda, Hyderabad",NA,1620 sq.ft,Build Up Area1620 sq.ftAvg. Price₹4.01 K/sq.ft
379,NA,₹24.0 L,EMI starts at ₹12.71 K,NA,"Svss resideny,Bhavanipuram Colony, Ramachandra Puram,Hyderabad",NA,700 sq.ft,Build Up Area700 sq.ftAvg. Price₹3.43 K/sq.ft
380,NA,₹2.5 Cr,EMI starts at ₹1.24 Lacs,NA,"Bhavana rushi society Padmashali colony,Sai Priya Colony, Kapra,Hyderabad",NA,4200 sq.ft,Build Up Area4200 sq.ftAvg. Price₹5.95 K/sq.ft
381,NA,₹1.05 Cr,EMI starts at ₹52.13 K,NA,"Kowkur, Hyderabad",NA,2500 sq.ft,Build Up Area2500 sq.ftAvg. Price₹4.20 K/sq.ft
382,NA,₹49.0 L,EMI starts at ₹25.95 K,NA,Kousthuba Residency,NA,1010 sq.ft,Build Up Area1010 sq.ftAvg. Price₹4.85 K/sq.ft
383,NA,₹36.9 L,EMI starts at ₹19.54 K,NA,"Bloom,Ghatkesar, Hyderabad",NA,1000 sq.ft,Build Up Area1000 sq.ftAvg. Price₹3.69 K/sq.ft
384,NA,₹37.0 L,EMI starts at ₹19.59 K,NA,PLATINUM VILLA,NA,875 sq.ft,Build Up Area875 sq.ftAvg. Price₹4.23 K/sq.ft
385,NA,₹70.0 L,EMI starts at ₹37.07 K,NA,Jahanavis My Homes,NA,1275 sq.ft,Build Up Area1275 sq.ftAvg. Price₹5.49 K/sq.ft
386,NA,₹3.8 Cr,EMI starts at ₹1.89 Lacs,NA,Aditya Hill Crest,NA,3700 sq.ft,Build Up Area3700 sq.ftAvg. Price₹10.27 K/sq.ft
387,NA,₹1.5 Cr,EMI starts at ₹74.47 K,NA,"Prem Nagar, Bolarum,Hyderabad",NA,1170 sq.ft,Build Up Area1170 sq.ftAvg. Price₹12.82 K/sq.ft
388,NA,₹38.7 L,EMI starts at ₹20.49 K,NA,"Sahitha green homes,Kompally, Hyderabad",NA,1290 sq.ft,Build Up Area1290 sq.ftAvg. Price₹3.00 K/sq.ft
389,NA,₹38.41 L,EMI starts at ₹20.34 K,NA,"RIDGE HOMES SUNRISE CITY,Sultanpur, Hyderabad",NA,167 sq.yd,Plot Area167 sq.ydAvg. Price₹23.00 K/sq.yd
390,NA,₹67.0 L,EMI starts at ₹35.48 K,NA,"Bharani classic Hakeemabad colony,Venkataramana Colony, Chintalakunta,Hyderabad",NA,1320 sq.ft,Build Up Area1320 sq.ftAvg. Price₹5.08 K/sq.ft
391,NA,₹86.0 L,EMI starts at ₹42.70 K,NA,"garuda avenues,Patancheru, Hyderabad",NA,2500 sq.ft,Build Up Area2500 sq.ftAvg. Price₹3.44 K/sq.ft
392,NA,₹50.0 L,EMI starts at ₹26.48 K,NA,"Sri Venkateswara gayatri nagar,Gayatri Nagar, Borabanda,Hyderabad",NA,1000 sq.ft,Build Up Area1000 sq.ftAvg. Price₹5.00 K/sq.ft
393,NA,₹1.8 Cr,EMI starts at ₹89.36 K,NA,"Allwyn Colony, Kukatpally,Hyderabad",NA,3500 sq.ft,Build Up Area3500 sq.ftAvg. Price₹5.14 K/sq.ft
394,NA,₹85.0 L,EMI starts at ₹42.20 K,NA,Innovation Enclave ,NA,1400 sq.ft,Build Up Area1400 sq.ftAvg. Price₹6.07 K/sq.ft
395,NA,₹1.15 Cr,EMI starts at ₹57.09 K,NA,"Jai Jawan Colony, Kapra,Hyderabad",NA,2500 sq.ft,Build Up Area2500 sq.ftAvg. Price₹4.60 K/sq.ft
396,NA,₹60.0 L,EMI starts at ₹31.77 K,NA,"Kukatpally Housing Board Colony, Kukatpally,Hyderabad",NA,1000 sq.ft,Build Up Area1000 sq.ftAvg. Price₹6.00 K/sq.ft
397,NA,₹19.9 L,EMI starts at ₹10.54 K,NA,"Ghatkesar, Hyderabad",NA,760 sq.ft,Build Up Area760 sq.ftAvg. Price₹2.62 K/sq.ft
398,NA,₹1.4 Cr,EMI starts at ₹69.50 K,NA,Dandamudi Enclave,NA,2400 sq.ft,Build Up Area2400 sq.ftAvg. Price₹5.83 K/sq.ft
399,NA,₹65.0 L,EMI starts at ₹34.42 K,NA,"Prem Nagar, Bolarum,Hyderabad",NA,1630 sq.ft,Build Up Area1630 sq.ftAvg. Price₹3.99 K/sq.ft
