,venture,price,Emi,marketed,location,no_beds,possession_date,Avg
118,NA,₹8.0 L,EMI starts at ₹4.24 K,NA,Hill County,NA,147 sq.yd,Plot Area147 sq.ydAvg. Price₹5.44 K/sq.yd
119,NA,₹45.0 L,EMI starts at ₹23.83 K,NA,"Ibrahimpatnam, Hyderabad",NA,1000 sq.ft,Build Up Area1000 sq.ftAvg. Price₹4.50 K/sq.ft
120,NA,₹26.4 L,EMI starts at ₹13.98 K,NA,"GATED COMMUNITY VILLA PLOTS AT SHADNAGAR,Kothur, Hyderabad",NA,165 sq.yd,Plot Area165 sq.ydAvg. Price₹16.00 K/sq.yd
121,NA,₹8.82 L,EMI starts at ₹4.67 K,NA,"REAL RIDGE REALTORS,Yadagirigutta, Hyderabad",NA,165 sq.yd,Plot Area165 sq.ydAvg. Price₹5.34 K/sq.yd
122,NA,₹1.0 Cr,EMI starts at ₹49.65 K,NA, SatyaVani Sarovaram Green Homes,NA,1370 sq.ft,Build Up Area1370 sq.ftAvg. Price₹7.30 K/sq.ft
123,NA,₹19.5 L,EMI starts at ₹10.33 K,NA,"Yadagirigutta, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹13.00 K/sq.yd
124,NA,₹48.0 L,EMI starts at ₹25.42 K,NA,"ARUNDHATHI ARCADE,Venkataramana Colony, Mallapur,Hyderabad",NA,1020 sq.ft,Build Up Area1020 sq.ftAvg. Price₹4.71 K/sq.ft
125,NA,₹3.5 Cr,EMI starts at ₹1.74 Lacs,NA,"Sai Krupa Colony, Yapral,Hyderabad",NA,4000 sq.ft,Build Up Area4000 sq.ftAvg. Price₹8.75 K/sq.ft
126,Haripriya Highway Pride,₹28.56 L - 31.96 L,EMI starts at ₹15.12 K,Marketed by  Individual Agent,"Bhuvanagiri,East Hyderabad,Hyderabad",Residential Plots for sale in Bhuvanagiri,Ready to Move,Possession StatusReady to MoveAvg. Price₹12.90 K/sq.yd
127,SV Highway City,₹27 L - 72 L,EMI starts at ₹14.30 K,Marketed by  Shubha Avani Developers,"Mucherla,South Hyderabad,Hyderabad",Residential Plots for sale in Mucherla,Ready to Move,Possession StatusReady to MoveAvg. Price₹17.50 K/sq.yd
